UNIQUE_ID,COLLISION_ID,PERSON_ID,PERSON_TYPE,PERSON_INJURY,PERSON_SEX,PERSON_AGE,VEHICLE_ID,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PED_ROLE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,CRASH_DATETIME
12693787,4650966,fcf452f5-cdc6-4818-bdba-c44c6c4ca142,OCCUPANT,UNSPECIFIED,M,52.0,20488777.0,,,,,,,,,Registrant,,,08/02/2023,20:05,QUEENS,11420.0,40.66741,-73.82479,"(40.66741, -73.82479)",116 STREET,150 AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2023-08-02 20:05:00
9996143,4163260,ec934674-4edc-4d3a-bb9b-c3c3f360cf47,OCCUPANT,UNSPECIFIED,F,30.0,19014142.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,07/02/2019,0:00,BRONX,10455.0,40.81608,-73.917694,"(40.81608, -73.917694)",3 AVENUE                        ,EAST 149 STREET,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2019-07-02 00:00:00
10028449,4178569,cd427669-7847-43dc-8951-ec85d3330d71,OCCUPANT,UNSPECIFIED,M,28.0,19030362.0,,,,,,,,,Registrant,,,07/26/2019,14:00,BROOKLYN,11204.0,40.63291,-73.97957,"(40.63291, -73.97957)",43 STREET                       ,17 AVENUE,,0.0,0.0,0,0,0,0,0,0,Brakes Defective,Unspecified,Unspecified,,,Sedan,Station Wagon/Sport Utility Vehicle,Motorcycle,,,2019-07-26 14:00:00
5751429,3422108,343734,OCCUPANT,UNSPECIFIED,M,28.0,16946243.0,,,,,,,,,Registrant,,,04/12/2016,11:45,QUEENS,11691.0,,,,FAR ROCKAWAY BOULEVARD          ,OCEAN CREST BOULEVARD,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4 dr sedan,,,,,2016-04-12 11:45:00
11340440,4328791,892955dc-ede2-4f1d-bff2-5e67e2b57951,OCCUPANT,INJURED,M,54.0,19707214.0,Not Ejected,Conscious,Head,Driver,Lap Belt & Harness,,,None Visible,Driver,,,07/13/2020,20:00,BROOKLYN,11238.0,40.674664,-73.97025,"(40.674664, -73.97025)",,,10        GRAND ARMY PLAZA              ,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Sedan,,,,2020-07-13 20:00:00
11444284,4355767,32444a07-7fa9-4653-b26d-a8669d107c49,OCCUPANT,UNSPECIFIED,,,19767762.0,,,,,,,,,Registrant,,,10/08/2020,6:40,BROOKLYN,11226.0,40.64944,-73.96308,"(40.64944, -73.96308)",CHURCH AVENUE                   ,EAST 18 STREET,,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,Bus,,,,,2020-10-08 06:40:00
7192699,3685157,fbc98067-d46e-4ecf-9fc4-790709567665,OCCUPANT,UNSPECIFIED,,0.0,17633569.0,,,,,,,,,Registrant,,,06/06/2017,13:15,MANHATTAN,10021.0,40.765545,-73.95471,"(40.765545, -73.95471)",EAST 70 STREET                  ,YORK AVENUE,,1.0,0.0,0,0,0,0,1,0,Oversized Vehicle,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Box Truck,,,,2017-06-06 13:15:00
11804923,4406753,29ec1ece-1be3-4ff3-92f9-dcfd659707a6,OCCUPANT,UNSPECIFIED,M,42.0,19977874.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,04/12/2021,13:08,,,40.812622,-73.92934,"(40.812622, -73.92934)",EAST 138 STREET                 ,,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Sedan,,,,2021-04-12 13:08:00
10006789,4173273,80d03d53-040a-487c-8678-bf652d58d015,OCCUPANT,UNSPECIFIED,M,33.0,19019484.0,,,,,,,,,Registrant,,,07/19/2019,17:55,,,40.76333,-73.792,"(40.76333, -73.792)",190 STREET                      ,CROCHERON AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Sedan,Sedan,,,,2019-07-19 17:55:00
6648173,3582857,3099365,OCCUPANT,UNSPECIFIED,M,30.0,17372286.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,12/17/2016,1:00,,,40.692463,-73.81082,"(40.692463, -73.81082)",VAN WYCK EXPWY                  ,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Sedan,Sedan,,,,2016-12-17 01:00:00
9635135,4004554,e4c35394-ebdf-4fc6-82cf-a394229abec4,OCCUPANT,UNSPECIFIED,M,32.0,18835392.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,10/20/2018,13:39,BRONX,10469.0,40.866573,-73.83876,"(40.866573, -73.83876)",EAST GUN HILL ROAD              ,BARTOW AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,2018-10-20 13:39:00
5981488,3446886,752041,OCCUPANT,UNSPECIFIED,,,17055681.0,,,,,,,,,Registrant,,,05/22/2016,17:10,,,,,,RFK BRIDGE MANH PLAZA           ,,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,Taxi,PK,,,,2016-05-22 17:10:00
7406905,3843590,386c8864-fc75-45db-8a02-d565190ca4ec,OCCUPANT,UNSPECIFIED,M,46.0,17738337.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,02/09/2018,11:13,STATEN ISLAND,10308.0,40.55708,-74.15801,"(40.55708, -74.15801)",,,233       BROOKFIELD AVENUE             ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2018-02-09 11:13:00
7080052,3700377,3f4b74f1-b89f-4e24-b924-d883e0f70774,OCCUPANT,UNSPECIFIED,M,37.0,17579559.0,Not Ejected,Does Not Apply,Does Not Apply,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Does Not Apply,Passenger,,,06/27/2017,18:10,,,40.703632,-73.85587,"(40.703632, -73.85587)",JACKIE ROBINSON PKWY            ,,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2017-06-27 18:10:00
10225559,4224351,bc348de0-826e-4b27-a1f2-d177d7287223,OCCUPANT,INJURED,M,27.0,19129492.0,Not Ejected,Conscious,Entire Body,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Complaint of Pain or Nausea,Passenger,,,10/16/2019,20:00,QUEENS,11354.0,40.762333,-73.833176,"(40.762333, -73.833176)",PRINCE STREET                   ,36 AVENUE,,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2019-10-16 20:00:00
11192350,4258153,20484759-6db7-4f9d-87a4-ac6473eb832a,OCCUPANT,UNSPECIFIED,F,69.0,19628877.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,12/13/2019,15:30,BROOKLYN,11216.0,40.671787,-73.95311,"(40.671787, -73.95311)",ROGERS AVENUE                   ,SAINT JOHNS PLACE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2019-12-13 15:30:00
9907936,4150892,9a0e59cf-c444-4e36-82de-892ac3e1fd9e,OCCUPANT,INJURED,M,29.0,18970507.0,Not Ejected,Conscious,Knee-Lower Leg Foot,Driver,,,,Minor Bleeding,Driver,,,06/07/2019,22:50,,,40.67903,-73.9246,"(40.67903, -73.9246)",BUFFALO AVENUE                  ,,,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,unkow,Motorcycle,,,,2019-06-07 22:50:00
10292004,4239019,c4f8e37d-f416-4fe9-969f-c12571d3fff1,OCCUPANT,UNSPECIFIED,F,52.0,19162554.0,Not Ejected,Does Not Apply,Does Not Apply,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Does Not Apply,Passenger,,,11/10/2019,10:10,,,40.703762,-73.94262,"(40.703762, -73.94262)",MOORE STREET                    ,,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2019-11-10 10:10:00
12373647,4568082,9c2ee55d-98aa-4d80-a107-c1539c307d8a,OCCUPANT,UNSPECIFIED,M,52.0,20307214.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,09/27/2022,23:15,,,40.63043,-73.88593,"(40.63043, -73.88593)",BELT PARKWAY,,,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,2022-09-27 23:15:00
9543444,3978754,9b229c25-bc2e-436e-85ab-1f380c1d3cc5,OCCUPANT,INJURED,F,57.0,18790093.0,Not Ejected,Conscious,Head,Driver,Unknown,,,Complaint of Pain or Nausea,Driver,,,09/10/2018,18:15,QUEENS,11421.0,40.697556,-73.852776,"(40.697556, -73.852776)",WOODHAVEN BOULEVARD             ,PARK LANE SOUTH,,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Sedan,,,2018-09-10 18:15:00
11843213,4431417,3d85b6a5-6d5b-410b-be9b-4239565abb0d,OCCUPANT,UNSPECIFIED,M,61.0,20000425.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,06/23/2021,22:50,QUEENS,11373.0,40.745502,-73.888374,"(40.745502, -73.888374)",77 STREET,41 AVENUE,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,Station Wagon/Sport Utility Vehicle,,,,,2021-06-23 22:50:00
6990537,3654838,504eec8a-1a88-4092-96eb-cc1748e12faf,OCCUPANT,UNSPECIFIED,,0.0,17536813.0,,,,,,,,,Registrant,,,04/19/2017,21:15,,,40.76635,-73.95103,"(40.76635, -73.95103)",FDR DRIVE                       ,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Reaction to Uninvolved Vehicle,,,,Sedan,RMP V,,,,2017-04-19 21:15:00
9969847,4161772,80dc1fd8-21c4-4a17-91b2-526299458400,OCCUPANT,UNSPECIFIED,F,32.0,19001080.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,06/30/2019,9:30,BRONX,10473.0,40.816765,-73.86475,"(40.816765, -73.86475)",COMMONWLTH AVENUE               ,RANDALL AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Van,,,,2019-06-30 09:30:00
11928107,4451970,4754bea3-3127-4fae-92b3-eb6abd045188,OCCUPANT,UNSPECIFIED,M,56.0,20050268.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,08/25/2021,13:20,STATEN ISLAND,10312.0,40.55413,-74.16837,"(40.55413, -74.16837)",RICHMOND AVENUE,STROUD AVENUE,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,Dump,Station Wagon/Sport Utility Vehicle,Sedan,,,2021-08-25 13:20:00
12155275,4511327,9ceaea1f-0811-40d2-bbfc-43091fcb5f4b,OCCUPANT,INJURED,F,22.0,20181757.0,Not Ejected,Conscious,Neck,Driver,Lap Belt & Harness,,,Whiplash,Driver,,,03/11/2022,23:46,,,40.76874,-73.90881,"(40.76874, -73.90881)",GRAND CENTRAL PKWY,,,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,2022-03-11 23:46:00
9188681,3931475,fa2f98f4-0ae4-4829-bc45-d19f9553792e,OCCUPANT,UNSPECIFIED,F,60.0,18615925.0,Not Ejected,Does Not Apply,Does Not Apply,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt,,,Does Not Apply,Passenger,,,06/29/2018,12:20,BROOKLYN,11236.0,40.64891,-73.89256,"(40.64891, -73.89256)",FLATLANDS AVENUE                ,EAST 108 STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2018-06-29 12:20:00
6630750,3508816,1756470,OCCUPANT,UNSPECIFIED,M,28.0,17363988.0,Not Ejected,Conscious,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,08/28/2016,18:45,,,40.762486,-73.96298,"(40.762486, -73.96298)",EAST 62 STREET                  ,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,Sedan,Bike,,,,2016-08-28 18:45:00
12432019,4583638,083f30c6-e6ce-4378-848e-71b94692943e,OCCUPANT,UNSPECIFIED,F,50.0,20340429.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,11/15/2022,21:32,BROOKLYN,11234.0,40.616848,-73.91169,"(40.616848, -73.91169)",AVENUE U,EAST 65 STREET,,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Driver Inattention/Distraction,,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2022-11-15 21:32:00
12115096,4500949,b3dbda51-65d5-431b-a69c-2f707e3f53c3,OCCUPANT,UNSPECIFIED,,,20158785.0,,,,,,,,,Owner,,,02/05/2022,6:08,,,40.52418,-74.2348,"(40.52418, -74.2348)",SOUTH BRIDGE STREET,,,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,,,,,Sedan,,,,,2022-02-05 06:08:00
12787477,4675515,3fbb5156-8423-4b2e-b5a9-5cceb036238a,OCCUPANT,UNSPECIFIED,M,50.0,20542380.0,,,,,,,,,Registrant,,,10/31/2023,9:34,BROOKLYN,11201.0,40.69042,-73.978714,"(40.69042, -73.978714)",,,155       ASHLAND PLACE,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,Bike,Sedan,,,,2023-10-31 09:34:00
7236352,3726934,5fed5871-894a-4e8e-a280-c30c420a903d,OCCUPANT,UNSPECIFIED,F,43.0,17654587.0,,,,,,,,,Registrant,,,08/07/2017,17:00,QUEENS,11378.0,40.726734,-73.90805,"(40.726734, -73.90805)",MAURICE AVENUE                  ,55 ROAD,,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,2017-08-07 17:00:00
9619659,4054219,142d3aaa-d2c1-4532-86f9-b3389cc83755,OCCUPANT,UNSPECIFIED,M,45.0,18827796.0,,,,,,,,,Registrant,,,12/29/2018,11:27,,,40.630234,-74.01685,"(40.630234, -74.01685)",BROOKLYN QUEENS EXPRESSWAY      ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Sedan,,,,2018-12-29 11:27:00
7217812,3737747,f9290235-b5ae-422c-91f4-12691bd39fd5,OCCUPANT,UNSPECIFIED,M,59.0,17645715.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,08/26/2017,9:25,,,40.756317,-73.852295,"(40.756317, -73.852295)",GRAND CENTRAL PKWY              ,,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,2017-08-26 09:25:00
10104173,4172691,86d190f3-33ab-418d-b1a5-980988b10242,OCCUPANT,UNSPECIFIED,F,0.0,19068446.0,,,,,,,,,Registrant,,,07/13/2019,1:30,BROOKLYN,11212.0,40.666737,-73.90224,"(40.666737, -73.90224)",JUNIUS STREET                   ,BLAKE AVENUE,,0.0,0.0,0,0,0,0,0,0,Steering Failure,Unspecified,Unspecified,Unspecified,,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,2019-07-13 01:30:00
9219752,4092106,0cb9525f-3bf4-4ef9-85a2-aac4f3e8cceb,OCCUPANT,UNSPECIFIED,F,27.0,18631116.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,03/06/2019,7:50,QUEENS,11358.0,40.768105,-73.804825,"(40.768105, -73.804825)",33 AVENUE                       ,160 STREET,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,Pick-up Truck,Sedan,,,,2019-03-06 07:50:00
9375588,3929389,71e96af7-85e6-469a-ba68-85a0f7d2f8ae,OCCUPANT,UNSPECIFIED,F,30.0,18707621.0,Not Ejected,Does Not Apply,Does Not Apply,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt,,,Does Not Apply,Passenger,,,06/22/2018,13:30,MANHATTAN,10036.0,40.762127,-73.99739,"(40.762127, -73.99739)",WEST 44 STREET                  ,11 AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Box Truck,,,,2018-06-22 13:30:00
9286681,4027757,94ee1356-a3ff-4e68-9389-f0a532624a01,OCCUPANT,UNSPECIFIED,M,22.0,18663897.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,11/17/2018,0:01,MANHATTAN,10023.0,40.777058,-73.98647,"(40.777058, -73.98647)",,,170       WEST END AVENUE               ,0.0,0.0,0,0,0,0,0,0,Alcohol Involvement,,,,,Station Wagon/Sport Utility Vehicle,,,,,2018-11-17 00:01:00
6411539,3528134,2105950,OCCUPANT,UNSPECIFIED,F,80.0,17259543.0,,,,,,,,,Registrant,,,09/23/2016,11:40,STATEN ISLAND,10310.0,40.6237,-74.113594,"(40.6237, -74.113594)",BROADWAY                        ,DOUGLAS AVENUE,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,Sedan,Sedan,,,,2016-09-23 11:40:00
6896926,3695805,aa28b7ac-9a7e-450e-8e7b-8f5fd04d8d12,OCCUPANT,UNSPECIFIED,,0.0,17491894.0,,,,,,,,,Registrant,,,06/21/2017,8:30,,,40.55926,-74.201805,"(40.55926, -74.201805)",WEST SHORE EXPRESSWAY RAMP      ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Station Wagon/Sport Utility Vehicle,,,,2017-06-21 08:30:00
